id,day.of.week,num.of.guests,hour,table,dessert
1,Monday,2,evening,13,TRUE
2,Saturday,4,night,19,TRUE
3,Saturday,4,after-noon,12,FALSE
4,Thursday,3,night,5,TRUE
5,Monday,7,noon,10,TRUE
6,Friday,2,evening,19,FALSE
7,Monday,2,evening,22,TRUE
8,Sunday,4,noon,4,TRUE
9,Thursday,4,evening,9,FALSE
10,Thursday,1,noon,17,TRUE
11,Friday,4,noon,23,TRUE
12,Friday,6,evening,10,TRUE
13,Friday,4,noon,4,TRUE
14,Wednesday,2,night,19,FALSE
15,Saturday,8,noon,19,TRUE
16,Wednesday,3,evening,21,TRUE
17,Tuesday,1,evening,17,TRUE
18,Wednesday,1,evening,11,TRUE
19,Sunday,2,evening,2,FALSE
20,Saturday,2,night,17,TRUE
21,Wednesday,2,evening,22,TRUE
22,Sunday,2,evening,1,TRUE
23,Friday,1,night,3,FALSE
24,Thursday,2,noon,10,TRUE
25,Friday,1,evening,4,FALSE
26,Saturday,2,evening,3,TRUE
27,Saturday,5,night,7,FALSE
28,Friday,4,evening,14,TRUE
29,Saturday,2,evening,4,FALSE
30,Monday,3,noon,12,TRUE
31,Saturday,5,noon,9,TRUE
32,Tuesday,4,noon,10,TRUE
33,Thursday,3,evening,7,FALSE
34,Tuesday,3,evening,10,FALSE
35,Friday,7,night,11,TRUE
36,Monday,4,evening,20,FALSE
37,Thursday,2,evening,9,TRUE
38,Wednesday,3,evening,11,TRUE
39,Friday,4,noon,1,TRUE
40,Wednesday,1,after-noon,23,TRUE
41,Saturday,2,evening,8,TRUE
42,Monday,2,evening,1,FALSE
43,Thursday,2,evening,9,TRUE
44,Wednesday,4,night,15,TRUE
45,Tuesday,4,evening,7,FALSE
46,Tuesday,2,night,23,TRUE
47,Wednesday,3,evening,2,TRUE
48,Friday,4,night,3,FALSE
49,Tuesday,3,evening,7,TRUE
50,Wednesday,3,noon,5,TRUE
51,Wednesday,6,after-noon,22,FALSE
52,Tuesday,2,evening,8,TRUE
53,Monday,4,night,10,TRUE
54,Saturday,3,evening,13,FALSE
55,Saturday,6,evening,7,TRUE
56,Friday,1,night,10,FALSE
57,Friday,2,noon,11,TRUE
58,Saturday,5,evening,8,FALSE
59,Tuesday,3,evening,1,TRUE
60,Thursday,4,night,23,TRUE
61,Saturday,2,evening,3,TRUE
62,Monday,2,evening,13,TRUE
63,Saturday,6,noon,17,FALSE
64,Tuesday,1,evening,20,FALSE
65,Saturday,2,after-noon,15,FALSE
66,Thursday,4,evening,1,TRUE
67,Saturday,6,noon,8,TRUE
68,Tuesday,3,noon,21,TRUE
69,Wednesday,2,noon,12,TRUE
70,Friday,6,night,21,TRUE
71,Monday,3,evening,23,FALSE
